app_key,confirmation_date,company,job_title,job_id,rejection_date
MaintainX | None | None,2026-03-09T16:14:08+00:00,MaintainX,None,None,
American Express | AI Engineer III | Agentic AI-26003141,2026-03-09T12:10:07-04:00,American Express,AI Engineer III,Agentic AI-26003141,
Prophix | Senior AI Engineer (Agentic AI) | None,2026-03-09T16:08:51+00:00,Prophix,Senior AI Engineer (Agentic AI),None,
Prophix | Senior AI Engineer (Agentic AI) | None,2026-03-09T16:08:52+00:00,Prophix,Senior AI Engineer (Agentic AI),None,
Prophix | Senior AI Engineer (Agentic AI) | 4377940198,2026-03-09T16:07:04Z,Prophix,Senior AI Engineer (Agentic AI),4377940198,
Uber | Senior Optimization Engineer | None,2026-03-09T16:02:01Z,Uber,Senior Optimization Engineer,None,2026-03-13T13:51:33-04:00
Sun Life | Senior Data Scientist | JR00120695,2026-03-09T14:43:40Z,Sun Life,Senior Data Scientist,JR00120695,2026-03-10T04:27:09Z
Manulife/John Hancock | Machine Learning Engineer | 8afb6ec3cc6e9000b124c795736a0001,2026-03-09T14:31:48Z,Manulife/John Hancock,Machine Learning Engineer,8afb6ec3cc6e9000b124c795736a0001,
Moneris | None | None,2026-03-08T21:01:02+00:00,Moneris,None,None,
Thomson Reuters | Senior Applied Scientist I | JREQ197179,2026-03-07T21:49:13Z,Thomson Reuters,Senior Applied Scientist I,JREQ197179,2026-03-12T07:48:59+00:00
Bloomberg | Senior Machine Learning Engineer - Artificial Intelligence | 10044510,2026-03-07T21:32:55Z,Bloomberg,Senior Machine Learning Engineer - Artificial Intelligence,10044510,2026-03-10T15:52:31Z
Altis Labs | Senior Data Engineer | 4328074179,2026-03-07T21:21:25Z,Altis Labs,Senior Data Engineer,4328074179,
